x Re(psi) Im(psi)
-1.000000000000000000e+01 -9.639028045168721026e-02 1.010578853721685738e-01
-9.921568627450980671e+00 -9.463846953113304317e-02 9.429860203542728136e-02
-9.843137254901961342e+00 -9.282965193529353620e-02 8.748251674687172741e-02
-9.764705882352942012e+00 -9.096491722825252035e-02 8.061373526140977464e-02
-9.686274509803920907e+00 -8.904538865647050605e-02 7.369639507616812524e-02
-9.607843137254901578e+00 -8.707222247218338040e-02 6.673466293821828099e-02
-9.529411764705882248e+00 -8.504660723691907787e-02 5.973273233468420068e-02
-9.450980392156862919e+00 -8.296976310555272127e-02 5.269482096674242555e-02
-9.372549019607843590e+00 -8.084294109133088879e-02 4.562516820903653875e-02
-9.294117647058824261e+00 -7.866742231230790250e-02 3.852803255603643590e-02
-9.215686274509803155e+00 -7.644451721964838631e-02 3.140768905688050977e-02
-9.137254901960783826e+00 -7.417556480826041632e-02 2.426842674024582910e-02
-9.058823529411764497e+00 -7.186193181023495247e-02 1.711454603079773373e-02
-8.980392156862745168e+00 -6.950501187157764882e-02 9.950356158774775056e-03
-8.901960784313725839e+00 -6.710622471272874312e-02 2.780172564269565560e-03
-8.823529411764706509e+00 -6.466701527337627431e-02 -4.391685702231003588e-03
-8.745098039215687180e+00 -6.218885284207852082e-02 -1.156089858148022509e-02
-8.666666666666666075e+00 -5.967323017121971968e-02 -1.872314760771380190e-02
-8.588235294117646745e+00 -5.712166257783148071e-02 -2.587411850993207377e-02
-8.509803921568627416e+00 -5.453568703082297547e-02 -3.300950381065559380e-02
-8.431372549019608087e+00 -5.191686122516769863e-02 -4.012500542058843045e-02
-8.352941176470588758e+00 -4.926676264360695806e-02 -4.721633722762653279e-02
-8.274509803921567652e+00 -4.658698760643253944e-02 -5.427922767865125953e-02
-8.196078431372548323e+00 -4.387915030992367571e-02 -6.130942235255346789e-02
-8.117647058823528994e+00 -4.114488185401526943e-02 -6.830268652293750020e-02
-8.039215686274509665e+00 -3.838582925978415578e-02 -7.525480770896206262e-02
-7.960784313725490335e+00 -3.560365447734559208e-02 -8.216159821278129494e-02
-7.882352941176471006e+00 -3.280003338475627472e-02 -8.901889764205725419e-02
-7.803921568627450789e+00 -2.997665477852821253e-02 -9.582257541602458295e-02
-7.725490196078431460e+00 -2.713521935636088386e-02 -1.025685332535982291e-01
-7.647058823529411242e+00 -2.427743869270443736e-02 -1.092527076420243687e-01
-7.568627450980391913e+00 -2.140503420777140411e-02 -1.158710722845888580e-01
-7.490196078431372584e+00 -1.851973613061739729e-02 -1.224196405259076192e-01
