x Re(psi) Im(psi)
-1.000000000000000000e+01 2.231696383919775928e-01 -5.334688214512548012e-27
-9.921568627450980671e+00 2.231696383919769822e-01 -5.415152026845090498e-27
-9.843137254901961342e+00 2.231696383919763993e-01 -5.486938369220201855e-27
-9.764705882352942012e+00 2.231696383919758164e-01 -5.559119142047923718e-27
-9.686274509803920907e+00 2.231696383919752058e-01 -5.631299914875644863e-27
-9.607843137254901578e+00 2.231696383919745952e-01 -5.701508535440314196e-27
-9.529411764705882248e+00 2.231696383919739846e-01 -5.762645255594941176e-27
-9.450980392156862919e+00 2.231696383919733462e-01 -5.826148558465231192e-27
-9.372549019607843590e+00 2.231696383919727078e-01 -5.878213378209816536e-27
-9.294117647058824261e+00 2.231696383919720694e-01 -5.936983515648780481e-27
-9.215686274509803155e+00 2.231696383919714310e-01 -5.982737448151597730e-27
-9.137254901960783826e+00 2.231696383919707927e-01 -6.025730367486140721e-27
-9.058823529411764497e+00 2.231696383919701543e-01 -6.065962273652410171e-27
-8.980392156862745168e+00 2.231696383919695159e-01 -6.105799749366069832e-27
-8.901960784313725839e+00 2.231696383919688498e-01 -6.131043298333140775e-27
-8.823529411764706509e+00 2.231696383919682114e-01 -6.154906340716074230e-27
-8.745098039215687180e+00 2.231696383919675730e-01 -6.176402800383345367e-27
-8.666666666666666075e+00 2.231696383919669069e-01 -6.192968879392985180e-27
-8.588235294117646745e+00 2.231696383919662685e-01 -6.203421286387162151e-27
-8.509803921568627416e+00 2.231696383919656301e-01 -6.212295971570897816e-27
-8.431372549019608087e+00 2.231696383919649640e-01 -6.217423567454832958e-27
-8.352941176470588758e+00 2.231696383919643256e-01 -6.225114961280737106e-27
-8.274509803921567652e+00 2.231696383919636872e-01 -6.223142809017683141e-27
-8.196078431372548323e+00 2.231696383919630211e-01 -6.220579011075714136e-27
-8.117647058823528994e+00 2.231696383919623827e-01 -6.210915464986755306e-27
-8.039215686274509665e+00 2.231696383919617166e-01 -6.202435210255628712e-27
-7.960784313725490335e+00 2.231696383919610505e-01 -6.190207866224702311e-27
-7.882352941176471006e+00 2.231696383919604121e-01 -6.170486343594176299e-27
-7.803921568627450789e+00 2.231696383919597459e-01 -6.146031655532324933e-27
-7.725490196078431460e+00 2.231696383919591353e-01 -6.127887854712240944e-27
-7.647058823529411242e+00 2.231696383919585525e-01 -6.097911140313842495e-27
-7.568627450980391913e+00 2.231696383919579418e-01 -6.062412399578896246e-27
-7.490196078431372584e+00 2.231696383919573590e-01 -6.030019798658258449e-27
-7.411764705882353255e+00 2.231696383919568039e-01 -5.986583145064526487e-27
-7.333333333333333925e+00 2.231696383919562487e-01 -5.941765984886657753e-27
-7.254901960784313708e+00 2.231696383919557214e-01 -5.896528201608934848e-27
-7.176470588235294379e+00 2.231696383919552218e-01 -5.846708245807525831e-27
-7.098039215686274161e+00 2.231696383919547222e-01 -5.801398047563894683e-27
-7.019607843137254832e+00 2.231696383919542226e-01 -5.745487530906355471e-27
-6.941176470588235503e+00 2.231696383919537785e-01 -5.687999292438374953e-27
-6.862745098039216174e+00 2.231696383919533344e-01 -5.622326622078726438e-27
-6.784313725490195957e+00 2.231696383919528903e-01 -5.559908002953114596e-27
-6.705882352941176627e+00 2.231696383919525017e-01 -5.488220268191156583e-27
-6.627450980392156410e+00 2.231696383919521132e-01 -5.414757596392450576e-27
-6.549019607843137081e+00 2.231696383919517246e-01 -5.340999101754287407e-27
-6.470588235294117752e+00 2.231696383919513915e-01 -5.266057315758292721e-27
-6.392156862745098422e+00 2.231696383919510585e-01 -5.182043629352256399e-27
-6.313725490196079093e+00 2.231696383919507254e-01 -5.100002095209272606e-27
-6.235294117647058876e+00 2.231696383919504478e-01 -5.016185624029542254e-27
-6.156862745098038658e+00 2.231696383919501703e-01 -4.926058265608043807e-27
-6.078431372549019329e+00 2.231696383919498927e-01 -4.831197741755219290e-27
-6.000000000000000000e+00 2.231696383919496707e-01 -4.733181774281511443e-27
-5.921568627450980671e+00 2.231696383919494486e-01 -4.635165806807802879e-27
-5.843137254901960453e+00 2.231696383919492266e-01 -4.540502498181283615e-27
-5.764705882352941124e+00 2.231696383919490323e-01 -4.432625769392312403e-27
-5.686274509803921795e+00 2.231696383919488658e-01 -4.326326762413782497e-27
-5.607843137254901578e+00 2.231696383919486992e-01 -4.211941931156737220e-27
-5.529411764705882248e+00 2.231696383919485605e-01 -4.102093050104712761e-27
-5.450980392156862919e+00 2.231696383919484494e-01 -3.983566699095257172e-27
-5.372549019607843590e+00 2.231696383919483384e-01 -3.870956804874959172e-27
-5.294117647058823373e+00 2.231696383919482551e-01 -3.758248303041507827e-27
-5.215686274509804043e+00 2.231696383919481996e-01 -3.642976003266088195e-27
-5.137254901960784714e+00 2.231696383919481441e-01 -3.518533195467473583e-27
-5.058823529411764497e+00 2.231696383919481164e-01 -3.397147223676590391e-27
-4.980392156862745168e+00 2.231696383919480886e-01 -3.271816947359602140e-27
-4.901960784313725839e+00 2.231696383919480886e-01 -3.145599202524239534e-27
-4.823529411764705621e+00 2.231696383919480886e-01 -3.016226014067992881e-27
-4.745098039215686292e+00 2.231696383919480886e-01 -2.888824977874798398e-27
-4.666666666666666963e+00 2.231696383919480886e-01 -2.755901915345056832e-27
-4.588235294117646745e+00 2.231696383919481164e-01 -2.629684170509693867e-27
-4.509803921568627416e+00 2.231696383919481441e-01 -2.495972247074731290e-27
-4.431372549019608087e+00 2.231696383919481719e-01 -2.364626906355431390e-27
-4.352941176470588758e+00 2.231696383919482274e-01 -2.224998526131310865e-27
-4.274509803921568540e+00 2.231696383919482829e-01 -2.087342298170242870e-27
-4.196078431372549211e+00 2.231696383919483107e-01 -1.948502778851342999e-27
-4.117647058823529882e+00 2.231696383919483662e-01 -1.808479968174611610e-27
-4.039215686274509665e+00 2.231696383919484217e-01 -1.668851587950490726e-27
-3.960784313725490335e+00 2.231696383919484494e-01 -1.524884472747654278e-27
-3.882352941176471006e+00 2.231696383919485327e-01 -1.377367483471323456e-27
-3.803921568627450789e+00 2.231696383919485882e-01 -1.232019861684350417e-27
-3.725490196078431460e+00 2.231696383919486160e-01 -1.083911226729103836e-27
-3.647058823529412130e+00 2.231696383919486992e-01 -9.379719592632152172e-28
-3.568627450980391913e+00 2.231696383919487547e-01 -7.938076288340739645e-28
-3.490196078431372584e+00 2.231696383919487825e-01 -6.484600070471013735e-28
-3.411764705882353255e+00 2.231696383919488658e-01 -4.997597264129395719e-28
-3.333333333333333037e+00 2.231696383919489213e-01 -3.552009655311880824e-28
-3.254901960784313708e+00 2.231696383919489490e-01 -2.076839762548577986e-28
-3.176470588235294379e+00 2.231696383919490323e-01 -5.918091084700129487e-29
-3.098039215686274161e+00 2.231696383919490878e-01 9.287202863434973956e-29
-3.019607843137254832e+00 2.231696383919491433e-01 2.433472463052586159e-28
-2.941176470588235503e+00 2.231696383919492266e-01 3.904698051289780350e-28
-2.862745098039216174e+00 2.231696383919492821e-01 5.399589466683603551e-28
-2.784313725490195957e+00 2.231696383919493654e-01 6.866870750394689096e-28
-2.705882352941176627e+00 2.231696383919494486e-01 8.369650774840721070e-28
-2.627450980392157298e+00 2.231696383919495041e-01 9.868486494760647087e-28
-2.549019607843137081e+00 2.231696383919495874e-01 1.133182347394562578e-27
-2.470588235294117752e+00 2.231696383919496707e-01 1.281833324222147169e-27
-2.392156862745098422e+00 2.231696383919497539e-01 1.426145566071016196e-27
-2.313725490196078205e+00 2.231696383919498372e-01 1.569866162240969284e-27
-2.235294117647058876e+00 2.231696383919499205e-01 1.714743857121510224e-27
-2.156862745098039547e+00 2.231696383919500037e-01 1.863322418983185317e-27
