x y Re(psi) Im(psi)
-4.000000000000000000e+00 -4.000000000000000000e+00 1.010365068118641574e-01 4.589302899532707314e-02
-3.873015873015873023e+00 -4.000000000000000000e+00 1.011810961960434713e-01 4.595870471007556385e-02
-3.746031746031746046e+00 -4.000000000000000000e+00 1.014615955798955083e-01 4.608611377005296383e-02
-3.619047619047619069e+00 -4.000000000000000000e+00 1.018677600232333197e-01 4.627060269552314697e-02
-3.492063492063492092e+00 -4.000000000000000000e+00 1.023892002798179462e-01 4.650745245973102876e-02
-3.365079365079365115e+00 -4.000000000000000000e+00 1.030152227580179436e-01 4.679180579547399799e-02
-3.238095238095238138e+00 -4.000000000000000000e+00 1.037349585382468103e-01 4.711872579769196823e-02
-3.111111111111111160e+00 -4.000000000000000000e+00 1.045373824931008500e-01 4.748320460825935369e-02
-2.984126984126984183e+00 -4.000000000000000000e+00 1.054113816817050658e-01 4.788019448221855073e-02
-2.857142857142857206e+00 -4.000000000000000000e+00 1.063457967503622786e-01 4.830462659287551586e-02
-2.730158730158730229e+00 -4.000000000000000000e+00 1.073294847617475983e-01 4.875143957021778329e-02
-2.603174603174603252e+00 -4.000000000000000000e+00 1.083513737605337757e-01 4.921560428583524049e-02
-2.476190476190476275e+00 -4.000000000000000000e+00 1.094005298329907283e-01 4.969215431288195178e-02
-2.349206349206349298e+00 -4.000000000000000000e+00 1.104662211627414903e-01 5.017621502162555869e-02
-2.222222222222222321e+00 -4.000000000000000000e+00 1.115379890414016362e-01 5.066303583405922656e-02
-2.095238095238095344e+00 -4.000000000000000000e+00 1.126057159320889428e-01 5.114802113986211679e-02
-1.968253968253968367e+00 -4.000000000000000000e+00 1.136596952984753189e-01 5.162676201430774214e-02
-1.841269841269841390e+00 -4.000000000000000000e+00 1.146906959484279703e-01 5.209506544457755822e-02
-1.714285714285714413e+00 -4.000000000000000000e+00 1.156900228702318345e-01 5.254898196292624030e-02
-1.587301587301587436e+00 -4.000000000000000000e+00 1.166495689958449294e-01 5.298482915870380422e-02
-1.460317460317460458e+00 -4.000000000000000000e+00 1.175618586739179128e-01 5.339921142476827809e-02
-1.333333333333333481e+00 -4.000000000000000000e+00 1.184200788748982353e-01 5.378903413153803686e-02
-1.206349206349206504e+00 -4.000000000000000000e+00 1.192180988700958233e-01 5.415151256566132915e-02
-1.079365079365079527e+00 -4.000000000000000000e+00 1.199504762448997397e-01 5.448417466135286463e-02
-9.523809523809525501e-01 -4.000000000000000000e+00 1.206124507842893101e-01 5.478485822305730057e-02
-8.253968253968255731e-01 -4.000000000000000000e+00 1.211999261423641755e-01 5.505170259934161897e-02
-6.984126984126985960e-01 -4.000000000000000000e+00 1.217094420028844715e-01 5.528313603759348743e-02
-5.714285714285716189e-01 -4.000000000000000000e+00 1.221381385696740790e-01 5.547785955477223946e-02
-4.444444444444446418e-01 -4.000000000000000000e+00 1.224837169799028180e-01 5.563482895624119462e-02
-3.174603174603176647e-01 -4.000000000000000000e+00 1.227443988261861935e-01 5.575323644980487853e-02
-1.904761904761906877e-01 -4.000000000000000000e+00 1.229188877045415407e-01 5.583249317993528582e-02
-6.349206349206371058e-02 -4.000000000000000000e+00 1.230063382524991672e-01 5.587221516419319661e-02
6.349206349206326649e-02 -4.000000000000000000e+00 1.230063382524993892e-01 5.587221516419306477e-02
1.904761904761897995e-01 -4.000000000000000000e+00 1.229188877045423178e-01 5.583249317993496663e-02
3.174603174603172207e-01 -4.000000000000000000e+00 1.227443988261873453e-01 5.575323644980437893e-02
4.444444444444446418e-01 -4.000000000000000000e+00 1.224837169799043585e-01 5.563482895624054236e-02
5.714285714285711748e-01 -4.000000000000000000e+00 1.221381385696759941e-01 5.547785955477144842e-02
6.984126984126977078e-01 -4.000000000000000000e+00 1.217094420028866364e-01 5.528313603759258538e-02
8.253968253968251290e-01 -4.000000000000000000e+00 1.211999261423664931e-01 5.505170259934059895e-02
9.523809523809525501e-01 -4.000000000000000000e+00 1.206124507842918081e-01 5.478485822305620423e-02
1.079365079365079083e+00 -4.000000000000000000e+00 1.199504762449024597e-01 5.448417466135169890e-02
1.206349206349205616e+00 -4.000000000000000000e+00 1.192180988700986821e-01 5.415151256566007321e-02
1.333333333333333037e+00 -4.000000000000000000e+00 1.184200788749011357e-01 5.378903413153673929e-02
1.460317460317460458e+00 -4.000000000000000000e+00 1.175618586739208549e-01 5.339921142476697358e-02
1.587301587301586991e+00 -4.000000000000000000e+00 1.166495689958479409e-01 5.298482915870249971e-02
1.714285714285713524e+00 -4.000000000000000000e+00 1.156900228702348737e-01 5.254898196292492191e-02
1.841269841269840946e+00 -4.000000000000000000e+00 1.146906959484309957e-01 5.209506544457623289e-02
1.968253968253968367e+00 -4.000000000000000000e+00 1.136596952984783720e-01 5.162676201430639600e-02
2.095238095238094900e+00 -4.000000000000000000e+00 1.126057159320919959e-01 5.114802113986075677e-02
2.222222222222221433e+00 -4.000000000000000000e+00 1.115379890414046060e-01 5.066303583405786654e-02
2.349206349206348854e+00 -4.000000000000000000e+00 1.104662211627443907e-01 5.017621502162419866e-02
2.476190476190476275e+00 -4.000000000000000000e+00 1.094005298329934206e-01 4.969215431288066809e-02
2.603174603174602808e+00 -4.000000000000000000e+00 1.083513737605363014e-01 4.921560428583405394e-02
2.730158730158729341e+00 -4.000000000000000000e+00 1.073294847617498465e-01 4.875143957021670776e-02
2.857142857142856762e+00 -4.000000000000000000e+00 1.063457967503642354e-01 4.830462659287453747e-02
2.984126984126984183e+00 -4.000000000000000000e+00 1.054113816817067728e-01 4.788019448221767643e-02
3.111111111111110716e+00 -4.000000000000000000e+00 1.045373824931022794e-01 4.748320460825861816e-02
3.238095238095237249e+00 -4.000000000000000000e+00 1.037349585382480316e-01 4.711872579769135067e-02
3.365079365079364671e+00 -4.000000000000000000e+00 1.030152227580188595e-01 4.679180579547349145e-02
3.492063492063492092e+00 -4.000000000000000000e+00 1.023892002798186124e-01 4.650745245973065406e-02
3.619047619047618625e+00 -4.000000000000000000e+00 1.018677600232338054e-01 4.627060269552289024e-02
