x y Re(psi) Im(psi)
-4.000000000000000000e+00 -4.000000000000000000e+00 1.510262225984402098e-04 1.516306476554970324e-04
-3.873015873015873023e+00 -4.000000000000000000e+00 1.545542498766270373e-04 1.551727945219782631e-04
-3.746031746031746046e+00 -4.000000000000000000e+00 1.616342842432048107e-04 1.622811640353389554e-04
-3.619047619047619069e+00 -4.000000000000000000e+00 1.723225822809459342e-04 1.730122379238011065e-04
-3.492063492063492092e+00 -4.000000000000000000e+00 1.867059770221445394e-04 1.874531967359315508e-04
-3.365079365079365115e+00 -4.000000000000000000e+00 2.048964465215963207e-04 2.057164666761341449e-04
-3.238095238095238138e+00 -4.000000000000000000e+00 2.270246546765474979e-04 2.279332345742120117e-04
-3.111111111111111160e+00 -4.000000000000000000e+00 2.532318032390143392e-04 2.542452672885443278e-04
-2.984126984126984183e+00 -4.000000000000000000e+00 2.836599859662612883e-04 2.847952272526558344e-04
-2.857142857142857206e+00 -4.000000000000000000e+00 3.184409178058191588e-04 3.197153565530988788e-04
-2.730158730158730229e+00 -4.000000000000000000e+00 3.576831764329070997e-04 3.591146674059620433e-04
-2.603174603174603252e+00 -4.000000000000000000e+00 4.014580490786396347e-04 4.030647323424046708e-04
-2.476190476190476275e+00 -4.000000000000000000e+00 4.497842907084556824e-04 4.515843813875425783e-04
-2.349206349206349298e+00 -4.000000000000000000e+00 5.026121551607971253e-04 5.046236692896554320e-04
-2.222222222222222321e+00 -4.000000000000000000e+00 5.598072860307561028e-04 5.620477019334101402e-04
-2.095238095238095344e+00 -4.000000000000000000e+00 6.211351454673133066e-04 6.236210028191810709e-04
-1.968253968253968367e+00 -4.000000000000000000e+00 6.862468836085419688e-04 6.889933259459561470e-04
-1.841269841269841390e+00 -4.000000000000000000e+00 7.546676082084723992e-04 7.576878784922057904e-04
-1.714285714285714413e+00 -4.000000000000000000e+00 8.257881860576573880e-04 8.290930894242315137e-04
-1.587301587301587436e+00 -4.000000000000000000e+00 8.988616376521529070e-04 9.024589897365889891e-04
-1.460317460317460458e+00 -4.000000000000000000e+00 9.730052388238881684e-04 9.768993224931181874e-04
-1.333333333333333481e+00 -4.000000000000000000e+00 1.047209146794758758e-03 1.051400203403799307e-03
-1.206349206349206504e+00 -4.000000000000000000e+00 1.120352261769539878e-03 1.124836045897621793e-03
-1.079365079365079527e+00 -4.000000000000000000e+00 1.191225441554404768e-03 1.195992868648658100e-03
-9.523809523809525501e-01 -4.000000000000000000e+00 1.258561979083070749e-03 1.263598895076914171e-03
-8.253968253968255731e-01 -4.000000000000000000e+00 1.321074342096038553e-03 1.326361440064534585e-03
-6.984126984126985960e-01 -4.000000000000000000e+00 1.377496106841681958e-03 1.383009011479956240e-03
-5.714285714285716189e-01 -4.000000000000000000e+00 1.426626751584553991e-03 1.432336282955876160e-03
-4.444444444444446418e-01 -4.000000000000000000e+00 1.467377669338369630e-03 1.473250290770294728e-03
-3.174603174603176647e-01 -4.000000000000000000e+00 1.498815719103576078e-03 1.504814159381463257e-03
-1.904761904761906877e-01 -4.000000000000000000e+00 1.520205498332384423e-03 1.526289543072229232e-03
